3:26:25 PM  [main] 	Initializing Control Panel
3:26:25 PM  [main] 	Windows Version:  Home  64-bit
3:26:25 PM  [main] 	XAMPP Version: 7.2.1
3:26:25 PM  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
3:26:25 PM  [main] 	You are not running with administrator rights! This will work for
3:26:25 PM  [main] 	most application stuff but whenever you do something with services
3:26:25 PM  [main] 	there will be a security dialogue or things will break! So think 
3:26:25 PM  [main] 	about running this application with administrator rights!
3:26:25 PM  [main] 	XAMPP Installation Directory: "d:\php\xampp\"
3:26:25 PM  [main] 	Checking for prerequisites
3:26:29 PM  [main] 	All prerequisites found
3:26:29 PM  [main] 	Initializing Modules
3:26:29 PM  [main] 	The FileZilla module is disabled
3:26:29 PM  [main] 	The Mercury module is disabled
3:26:29 PM  [main] 	Starting Check-Timer
3:26:29 PM  [main] 	Control Panel Ready
3:26:30 PM  [Apache] 	Attempting to start Apache app...
3:26:31 PM  [Apache] 	Status change detected: running
3:26:31 PM  [Apache] 	Status change detected: stopped
3:26:31 PM  [Apache] 	Error: Apache shutdown unexpectedly.
3:26:31 PM  [Apache] 	This may be due to a blocked port, missing dependencies, 
3:26:31 PM  [Apache] 	improper privileges, a crash, or a shutdown by another method.
3:26:31 PM  [Apache] 	Press the Logs button to view error logs and check
3:26:31 PM  [Apache] 	the Windows Event Viewer for more clues
3:26:31 PM  [Apache] 	If you need more help, copy and post this
3:26:31 PM  [Apache] 	entire log window on the forums
3:26:32 PM  [mysql] 	Attempting to start MySQL app...
3:26:34 PM  [Apache] 	Attempting to start Apache app...
3:26:34 PM  [Apache] 	Status change detected: running
3:26:35 PM  [Apache] 	Status change detected: stopped
3:26:35 PM  [Apache] 	Error: Apache shutdown unexpectedly.
3:26:35 PM  [Apache] 	This may be due to a blocked port, missing dependencies, 
3:26:35 PM  [Apache] 	improper privileges, a crash, or a shutdown by another method.
3:26:35 PM  [Apache] 	Press the Logs button to view error logs and check
3:26:35 PM  [Apache] 	the Windows Event Viewer for more clues
3:26:35 PM  [Apache] 	If you need more help, copy and post this
3:26:35 PM  [Apache] 	entire log window on the forums
3:26:37 PM  [Apache] 	Status change detected: running
3:26:38 PM  [Apache] 	Status change detected: stopped
3:26:38 PM  [Apache] 	Error: Apache shutdown unexpectedly.
3:26:38 PM  [Apache] 	This may be due to a blocked port, missing dependencies, 
3:26:38 PM  [Apache] 	improper privileges, a crash, or a shutdown by another method.
3:26:38 PM  [Apache] 	Press the Logs button to view error logs and check
3:26:38 PM  [Apache] 	the Windows Event Viewer for more clues
3:26:38 PM  [Apache] 	If you need more help, copy and post this
3:26:38 PM  [Apache] 	entire log window on the forums
3:26:42 PM  [Apache] 	Status change detected: running
3:26:43 PM  [Apache] 	Status change detected: stopped
3:26:43 PM  [Apache] 	Error: Apache shutdown unexpectedly.
3:26:43 PM  [Apache] 	This may be due to a blocked port, missing dependencies, 
3:26:43 PM  [Apache] 	improper privileges, a crash, or a shutdown by another method.
3:26:43 PM  [Apache] 	Press the Logs button to view error logs and check
3:26:43 PM  [Apache] 	the Windows Event Viewer for more clues
3:26:43 PM  [Apache] 	If you need more help, copy and post this
3:26:43 PM  [Apache] 	entire log window on the forums
3:26:48 PM  [main] 	Deinitializing Modules
3:26:48 PM  [main] 	Deinitializing Control Panel

